shipment_id,issue_type,column,details
4233297991,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232621548,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233738361,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233737885,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233642838,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233401962,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233334474,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4231036850,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4235368216,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233297766,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232458214,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234047397,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234138246,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4235597164,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234209075,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4230811464,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234259135,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232539673,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232530190,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233493771,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234018418,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232492434,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4235730825,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234027547,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234298157,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234241722,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232525380,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232516513,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4234302613,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232545081,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232363527,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232362385,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232482941,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232558245,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232529923,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232440413,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313262938,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5315425764,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316365488,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316381699,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316371920,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316222689,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5312874819,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316170203,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316104610,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316155574,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316126782,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316510772,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316492004,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316622404,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5316662715,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5313628994,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4235265566,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4235254747,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233459353,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233453309,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233415468,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4233412582,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232298454,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
4232435887,Value Mismatch,valueusd,Calculated vs reported value differs by >10%
5314629348,Low Price,unit_price,Suspiciously low unit price (48.98)
5313828825,Low Price,unit_price,Suspiciously low unit price (48.98)
5313156543,Low Price,unit_price,Suspiciously low unit price (43.43)
5313203248,Low Price,unit_price,Suspiciously low unit price (48.98)
5314614100,Low Price,unit_price,Suspiciously low unit price (1.81)
5317393213,Low Price,unit_price,Suspiciously low unit price (0.11)
4233327038,Low Price,unit_price,Suspiciously low unit price (39.0)
4232675106,Low Price,unit_price,Suspiciously low unit price (29.49)
SHIPMENT ID,Low Price,unit_price,Suspiciously low unit price (0.0)
5316899154,Low Price,unit_price,Suspiciously low unit price (19.98)
5316631661,Low Price,unit_price,Suspiciously low unit price (1.02)
5314936550,Low Price,unit_price,Suspiciously low unit price (10.18)
4233345692,Low Price,unit_price,Suspiciously low unit price (4.09)
4232272512,Low Price,unit_price,Suspiciously low unit price (4.06)
4232570266,Low Price,unit_price,Suspiciously low unit price (19.3)
5315248617,Low Price,unit_price,Suspiciously low unit price (23.57)
5315368153,Low Price,unit_price,Suspiciously low unit price (26.76)
5313274416,Low Price,unit_price,Suspiciously low unit price (9.22)
5313921892,Low Price,unit_price,Suspiciously low unit price (32.2)
5313308754,Low Price,unit_price,Suspiciously low unit price (49.05)
5316118927,Low Price,unit_price,Suspiciously low unit price (0.1)
5315978063,Low Price,unit_price,Suspiciously low unit price (35.39)
5314403776,Low Price,unit_price,Suspiciously low unit price (47.19)
5314532980,Low Price,unit_price,Suspiciously low unit price (47.19)
5314324908,Low Price,unit_price,Suspiciously low unit price (0.83)
5314319027,Low Price,unit_price,Suspiciously low unit price (0.83)
5316651170,Low Price,unit_price,Suspiciously low unit price (12.84)
5316522566,Low Price,unit_price,Suspiciously low unit price (46.08)
5316296892,Low Price,unit_price,Suspiciously low unit price (45.9)
4233982244,Low Price,unit_price,Suspiciously low unit price (47.87)
4235113202,Low Price,unit_price,Suspiciously low unit price (14.51)
4236290911,Low Price,unit_price,Suspiciously low unit price (5.62)
4235101309,Low Price,unit_price,Suspiciously low unit price (40.45)
4234617216,Low Price,unit_price,Suspiciously low unit price (48.54)
4234839587,Low Price,unit_price,Suspiciously low unit price (42.47)
4236261123,Low Price,unit_price,Suspiciously low unit price (15.31)
4233493771,Low Price,unit_price,Suspiciously low unit price (4.46)
4234018418,Low Price,unit_price,Suspiciously low unit price (0.1)
5313262938,Low Price,unit_price,Suspiciously low unit price (20.36)
5316365488,Low Price,unit_price,Suspiciously low unit price (2.89)
5316381699,Low Price,unit_price,Suspiciously low unit price (13.02)
5316371920,Low Price,unit_price,Suspiciously low unit price (1.53)
5316222689,Low Price,unit_price,Suspiciously low unit price (13.02)
5316170203,Low Price,unit_price,Suspiciously low unit price (13.14)
5316104610,Low Price,unit_price,Suspiciously low unit price (7.66)
5316155574,Low Price,unit_price,Suspiciously low unit price (38.32)
5316126782,Low Price,unit_price,Suspiciously low unit price (38.32)
5316510772,Low Price,unit_price,Suspiciously low unit price (2.58)
4235265566,Low Price,unit_price,Suspiciously low unit price (39.72)
4235254747,Low Price,unit_price,Suspiciously low unit price (39.72)
